step,eval_return,eval_length,mse_mean,ssim_mean,head_error_mean,body_accuracy_mean,food_correct_mean,mse_std,ssim_std,head_error_std,body_accuracy_std,food_correct_std
55000,0.23900012373924256,382.1,0.002898706801289936,0.9762526322814552,0.2682619236477706,0.9475072780203785,0.18013100436681223,0.0018795268293726511,0.014967739060819165,1.5690373912308857,0.16711412806971052,0.38429653346421916
105000,-0.699399995803833,500.0,0.002369341984841352,0.985537963087078,0.2096069868995633,0.9529657933042214,0.4683406113537118,0.0025549422818980294,0.01487045172356988,1.425652175327729,0.12032877206197494,0.4989966764524022
155000,0.4376000642776489,233.3,0.0016715445121402981,0.9903144674061998,0.11244541484716157,0.9328420669577875,0.6255458515283843,0.0024878197739050542,0.013840260860907665,1.041401747997501,0.1626407912354694,0.4839816516811489
205000,0.7522001653909683,276.4,0.001894052932804845,0.9888056626045465,0.08842794759825327,0.9750909752547308,0.6331877729257642,0.002678203339080783,0.014410752010563242,0.9309321385338335,0.08537344951258952,0.48193466065751595
255000,0.5750001311302185,364.4,0.0015718719657505092,0.9917803928710115,0.07969432314410481,0.9736353711790393,0.7314410480349345,0.0025770005841892376,0.012706112626602852,0.8736701150207881,0.09046764316428103,0.4432099291357213
305000,1.080000138282776,212.9,0.0015714556113726312,0.9914951603845044,0.12445414847161572,0.9725072780203784,0.7456331877729258,0.0026219562914454875,0.0134863186200707,1.091757640556837,0.09183111791110013,0.4355046923564781
355000,2.5352004528045655,386.5,0.0015973725343773335,0.9910079141439784,0.04585152838427948,0.9565320232896651,0.7248908296943232,0.002646239230947905,0.01422188141569674,0.6608799181135606,0.10965394296775641,0.44656927202775487
405000,1.6860003471374512,310.5,0.0014618068377022261,0.9918987178142525,0.06986899563318777,0.9675400291120815,0.7096069868995634,0.0023565378866565964,0.012641923382035852,0.8103643475936961,0.10969705526502381,0.4539437311417421
455000,4.178200769424438,416.5,0.0013052911554186763,0.9927459698564419,0.06877729257641921,0.9727983988355167,0.7849344978165939,0.002503194635508912,0.013703828382941614,0.808434677173919,0.09390223589056874,0.410867779162598
505000,8.171600723266602,224.4,0.001203059356779701,0.9930073094441212,0.034934497816593885,0.9750909752547308,0.7805676855895196,0.0023408063362532535,0.013177393349046315,0.5731264293385947,0.08537344951258952,0.41386202266327893
555000,4.969000828266144,272.2,0.00113746186127292,0.9942942923737829,0.012008733624454149,0.9740902474526929,0.7838427947598253,0.002258529105550209,0.011230758283086626,0.3318400202663345,0.08869619851078091,0.41162272515366743
605000,11.376401317119598,325.4,0.001178332503494673,0.9939166325106348,0.02292576419213974,0.9743995633187772,0.7827510917030568,0.002300733521683373,0.011581115298493034,0.46787468808077964,0.08774323497371239,0.4123733989247241
655000,11.534401631355285,246.4,0.0014603740025313809,0.9918491054629835,0.0851528384279476,0.9457605531295489,0.7958515283842795,0.0029824091103632473,0.017141776415741227,0.6862324190624434,0.15793131807529562,0.40307799884474693
705000,18.60720157623291,367.5,0.0015084443297794443,0.9926724595006168,0.03384279475982533,0.9798580786026201,0.7358078602620087,0.0025595719572294624,0.012379568029055966,0.5722388359157219,0.08610946028121987,0.44090209008197384
755000,19.590002059936523,426.6,0.0012961880587617147,0.9917427570842937,0.02292576419213974,0.9669941775836972,0.7762008733624454,0.002430438657964478,0.014920301186504576,0.4678746880807797,0.11077289873736187,0.4167890084369097
805000,18.329802024364472,405.4,0.0015993138025486098,0.9921766212059099,0.02292576419213974,0.9732714701601164,0.712882096069869,0.0025370008252440226,0.011939154585048673,0.46787468808077964,0.08934832564577663,0.4524170787811829
855000,19.53480234146118,354.6,0.001716356317272278,0.9909330769366237,0.036026200873362446,0.9745451237263465,0.7194323144104804,0.0028214011423559515,0.014623870757580875,0.5740105739892823,0.08679896562473678,0.4492765956428847
949635,23.235202026367187,457.5,0.001260226139185554,0.9932386165362272,0.002183406113537118,0.9682314410480349,0.7816593886462883,0.0024424624940614864,0.012874166652609561,0.046675891542427836,0.10992687261520621,0.4131198237647271
999635,24.572603225708008,439.9,0.001388010742653227,0.9929492846886218,0.002183406113537118,0.9564592430858805,0.7762008733624454,0.0025684955460150405,0.012623286117835765,0.046675891542427836,0.112680684223167,0.4167890084369097
1049635,25.706202888488768,474.1,0.0013004911632814615,0.993895259050192,0.02292576419213974,0.9852074235807861,0.7838427947598253,0.002402579846767776,0.010657348614640735,0.4678746880807796,0.06357796287723617,0.41162272515366743
