step,eval_return,eval_length,mse_mean,ssim_mean,head_error_mean,body_accuracy_mean,food_correct_mean,mse_std,ssim_std,head_error_std,body_accuracy_std,food_correct_std
237411,-2.568400192260742,1735.5,0.0015190742204475543,0.975870650905247,0.028362305580969808,0.9966453186947242,0.6340347666971637,0.0018678779376275116,0.026043700850666787,0.524008032078246,0.04143567630199157,0.4816997833884056
247411,-2.1356001496315002,1669.4,0.001062610171156231,0.9819735928244,0.018298261665141813,0.997560231777981,0.7959743824336688,0.0019776852718897046,0.025140963455738147,0.4273731276899053,0.0284130886217801,0.40298779751129976
257411,-2.29980012178421,1651.3,0.0018032815278600045,0.9705070111117285,0.018298261665141813,0.9958828911253431,0.6440988106129918,0.0023682806544454973,0.03383389547005191,0.4273731276899053,0.03783730693823159,0.4787854767846672
267411,-2.7976001739501952,2000.0,0.0011147929834802969,0.982031123898336,0.027447392497712716,0.9986276303751144,0.8087831655992681,0.00219926032127535,0.0294313079445204,0.5231831090757839,0.023061133974272112,0.3932594012131115
277411,-1.4696000218391418,1637.0,0.0005447134379482491,0.9885720886611844,0.009149130832570906,0.9996950289722477,0.9021043000914913,0.0014935746938780949,0.02312644177808339,0.30233690104040817,0.01007789670134694,0.2971735719204046
287411,-2.046600139141083,1624.9,0.0008782528926563369,0.9864548949108879,0.010064043915827997,0.9935956084172004,0.8417200365965233,0.0020463389772733837,0.027418011114314966,0.3038172747376726,0.05199733664549981,0.3650033103801536
297411,-0.47439987659454347,1440.2,0.0005347092837157224,0.99173396298893,0.009149130832570906,1.0,0.8627630375114365,0.0015150634486033377,0.02264084346894912,0.30233690104040817,0.0,0.3440973388671818
307411,0.48840041160583497,1260.2,0.0010319649435376126,0.9853817773482665,0.027447392497712716,0.9823116803903628,0.817932296431839,0.0021704222666672295,0.027260092147635234,0.5231831090757838,0.07472101368378928,0.38590031729136637
317411,-1.3947999715805053,2000.0,0.0009564261983767313,0.985583994360181,0.009149130832570906,1.0,0.8115279048490394,0.0020053604769661912,0.027401750603880757,0.30233690104040817,0.0,0.39108869134809804
327411,-1.348400092124939,1977.0,0.0016570098236025903,0.9784177559404353,0.0192131747483989,0.9810917962793534,0.6925892040256175,0.0025245213790662303,0.031331866440834855,0.4284021284386466,0.07710521646171144,0.4614210642057632
337411,2.828400284051895,140.9,0.001516148668588044,0.9797320624130478,0.018298261665141813,0.970722781335773,0.6880146386093321,0.002385142250565708,0.03257727245476352,0.4273731276899053,0.09434997273641725,0.4633038912728904
