step,eval_return,eval_length,mse_mean,ssim_mean,head_error_mean,body_accuracy_mean,food_correct_mean,mse_std,ssim_std,head_error_std,body_accuracy_std,food_correct_std
55000,10.50300133228302,161.3,0.006000718475047995,0.9663514629588581,0.04757548032936871,0.7975958117312189,0.0969807868252516,0.002303827514065083,0.015256774951112568,0.6760347191280114,0.19852836353747022,0.29593160326671214
155000,25.655002880096436,451.0,0.0062172364875663355,0.9664637444050881,0.11474310481461399,0.7977003732264482,0.0777676120768527,0.0024024698510689063,0.01627130727390661,0.9715107333346448,0.1980481715447764,0.2678055462247129
258104,23.274002075195312,389.0,0.005231660242834906,0.9709245756524207,0.0192131747483989,0.817266079960499,0.2040256175663312,0.0029259149326157706,0.018055638453874933,0.4284021284386466,0.19734406419887207,0.40298779751129976
358104,12.412001419067384,158.7,0.004466099497071986,0.9769003182653551,0.028362305580969808,0.865963781059847,0.3101555352241537,0.003190433581156223,0.01791821116274825,0.524008032078246,0.1744151972421413,0.46255710911623926
456097,23.51520209312439,368.6,0.004354851998998536,0.97626561901068,0.04666056724611162,0.8967683962880669,0.3119853613906679,0.003115245750516912,0.01792181502914568,0.6754215322123462,0.15359218329011093,0.46330389127289046
556097,33.36080341339111,556.0,0.004187686991604831,0.9767913761046647,0.010978956999085087,0.888006651272891,0.33394327538883806,0.003236157475908428,0.01923511001381683,0.3052877282096931,0.17586662500701988,0.4716197241543368
673076,30.887403869628905,540.2,0.004543806611864563,0.9758555232343173,0.020128087831655993,0.8640057944495273,0.2918572735590119,0.0031474579343702506,0.018035339296475706,0.42942671423442375,0.18654912743425725,0.45461698761673214
773076,29.51560249328613,474.6,0.00469549600448952,0.9751818454180802,0.011893870082342177,0.8763378788538897,0.2708142726440988,0.0030726749941585923,0.018163718086023732,0.3067484041196379,0.17334812895228074,0.44438035777512325
883076,35.915003490448,681.7,0.004651540575928437,0.9759106301398794,0.011893870082342177,0.8570433784980903,0.2836230558096981,0.003113126124869863,0.018173965518750557,0.306748404119638,0.18759127778719714,0.45075605156544146
987449,41.90620441436768,892.5,0.004823935302536469,0.97380717445939,0.03019213174748399,0.8804985550182257,0.242451967063129,0.0029928844810002365,0.017439467268983145,0.5256492170710816,0.16831703586192898,0.4285662267728856
1087449,48.12980499267578,1037.2,0.004997506085330408,0.9746378580269304,0.0768526989935956,0.8777425608852872,0.22964318389752975,0.002950940881266353,0.01688108171822767,0.8542153016635212,0.1704761251960567,0.42060336659011077
1193594,23.60020246505737,376.2,0.004403335649755486,0.9753518667646558,0.09972552607502287,0.8514493385033184,0.37328453796889294,0.003962357120319084,0.023512932260472685,0.5771890727226815,0.22655848407679638,0.4836767429619116
1293594,37.15380420684814,613.4,0.004585839521393588,0.9745836116537686,0.07044830741079597,0.8394062504538259,0.3321134492223239,0.003724397684336646,0.021981458446739682,0.559027616377907,0.21380641581531917,0.47097144931298623
1401446,40.63980369567871,774.2,0.004497920930391951,0.9754544335902553,0.09423604757548033,0.8902812268548773,0.30558096980786825,0.003190041825831217,0.018955983228342348,0.9532981641880014,0.18853023457324025,0.4606530589273786
1501446,24.424002838134765,365.1,0.005214034784562549,0.9722107356046787,0.30990660755842436,0.8383944001510332,0.25709057639524246,0.003737216384041452,0.02236831496843004,1.620157215889315,0.2265045944149569,0.43702976091337814
1601446,35.819003105163574,579.4,0.005003771222286783,0.9714312308234985,0.12991765782250686,0.8401022379064466,0.2845379688929552,0.0034768469481359695,0.021845195864502842,0.9261632198374607,0.20676465932688817,0.4511940969818054
1705624,34.82180376052857,627.1,0.004661278245542227,0.9752494818236019,0.0585544373284538,0.8882531695203241,0.25709057639524246,0.0029599188465981616,0.01688113012005053,0.7410660430463879,0.16219794735962667,0.43702976091337814
1805624,22.939002132415773,306.0,0.004939546988223419,0.9728081381208696,0.0384263494967978,0.841576264540583,0.252516010978957,0.0031278648195567503,0.019353051108966766,0.6052424928354753,0.2113769424775299,0.434455607833795
1912972,34.661403274536134,607.1,0.004737728883104982,0.9737317671632766,0.039341262580054895,0.8768156667973686,0.26806953339432754,0.003043629934238757,0.01784935338990926,0.6059391368868781,0.17649172875117078,0.44295401415956837
2015965,54.257006072998045,1180.0,0.004679560465692826,0.9744701576826683,0.0585544373284538,0.8988665243468538,0.2744739249771272,0.0030639427681668596,0.01839123100119123,0.7410660430463879,0.17702800567758178,0.4462487977404281
