step,eval_return,eval_length,mse_mean,ssim_mean,head_error_mean,body_accuracy_mean,food_correct_mean,mse_std,ssim_std,head_error_std,body_accuracy_std,food_correct_std
55000,1.0920001864433289,157.4,0.003690612672855568,0.9607612630592648,0.7035685763507864,0.8979663394109397,0.05329593267882188,0.0020376470845017,0.02035679794639172,2.438890939409234,0.23808884033170472,0.22462296462898976
155000,-2.7136002659797667,1607.7,0.0031562669902679293,0.9757228710391131,0.4297534552066944,0.9435483870967742,0.17110799438990182,0.0016903769495641172,0.011838906086492537,2.0081591749873153,0.16805773069256977,0.3766033040823821
251324,-0.64739990234375,725.9,0.0014711995307255714,0.9903892756892231,0.26928471248246844,0.949859747545582,0.6143057503506312,0.002132493213010035,0.013084046683456505,1.6109275050891294,0.1441308654294934,0.48675886785633316
351324,-1.2058000922203065,1155.0,0.0010787790684174345,0.9924211780851059,0.17391304347826086,0.9525479195885928,0.7685834502103787,0.0021314393896349863,0.013284976728451083,1.2888750341241906,0.13910813759987448,0.42173798770455695
451324,-0.8395999819040298,972.1,0.0011131848250067796,0.9927433259535695,0.18373071528751753,0.9535998129967274,0.7531556802244039,0.0021220116158505533,0.012878355743134461,1.3382553778100414,0.1359616155531192,0.43117537217484875
551324,-1.1151999354362487,1260.0,0.0013493943245224977,0.992076461440067,0.11360448807854137,0.9540673211781207,0.7461430575035063,0.0024142381172540554,0.013488227001523063,1.0538103150834168,0.1335924567835595,0.43521672215440615
654398,-0.3459997534751892,1476.2,0.0009448508164498922,0.9935957055531954,0.1150070126227209,0.94109396914446,0.8260869565217391,0.0021443853639597373,0.013396120895393344,1.0543235136710056,0.14476664673411324,0.37903469074266727
750417,1.7858005046844483,411.7,0.0009821764963078743,0.9935082518065401,0.12622720897615708,0.9566386161757829,0.7938288920056101,0.002071395501666613,0.012905828869466469,1.1163954413538513,0.12875023807395583,0.4045547950806609
850417,6.919200730323792,800.3,0.0007671172755224811,0.9952747220875848,0.015427769985974754,0.9845722300140253,0.8120617110799438,0.0016918364241737909,0.009737421074402992,0.37605446796360725,0.0691931850924387,0.39066288341466177
950417,8.333001172542572,444.7,0.000594028133045298,0.9949472658245433,0.056100981767180924,0.9815334268349695,0.8737727910238429,0.0014487336719483388,0.01055656828168736,0.7469019329982803,0.07714186034048172,0.3321052554390651
1059994,11.66900143623352,329.8,0.0007902402126579819,0.9948673427460251,0.08695652173913043,0.9810659186535764,0.820476858345021,0.0016616368051780965,0.009541751705755205,0.9147449584026714,0.07523741355870851,0.383789764409247
1151852,12.41620168685913,256.8,0.0012980232136854547,0.9912536821778464,0.15427769985974754,0.991234221598878,0.7741935483870968,0.002351119051669204,0.014197193920761925,1.2324671962869689,0.06076549877607268,0.4181123031230878
1251852,13.660201406478881,286.1,0.0011458922024617582,0.9926257515771335,0.15988779803646563,0.9777933613838241,0.7952314165497896,0.002143700603965577,0.012030567492324281,1.2351631624613821,0.09275664521197079,0.40353241589989347
1351240,15.918601989746094,359.3,0.0012670250866979088,0.9919197678351894,0.12903225806451613,0.9936886395511921,0.7643758765778401,0.002278781502589634,0.013326618857110542,1.117330665125012,0.04478297693186956,0.4243882607750815
1451240,13.48620147705078,272.9,0.0010697520367950262,0.9940980779787383,0.10659186535764376,0.9863253856942497,0.7980364656381487,0.0021379238695934796,0.011259644031812756,1.003429615525629,0.07918624677986823,0.4014651481136571
1551240,13.438201522827148,246.8,0.0011466855774333918,0.993719289780784,0.10238429172510519,0.9817671809256662,0.8022440392706872,0.0022944884378107606,0.011609663021628087,0.9876700923720196,0.07264752222423489,0.3983070934911143
1651240,18.42020215988159,361.0,0.0008846745428770535,0.9942495363882039,0.08835904628330996,0.9762739597942963,0.8387096774193549,0.001928632631502733,0.010460916030476518,0.9153769600990382,0.08415926409309638,0.3677985242255284
1754004,17.195401668548584,322.1,0.0014778064431496907,0.9908804955506769,0.14305750350631136,0.9830528284244974,0.7531556802244039,0.002495027710570085,0.014515393010891869,1.176802508477282,0.06975043458426923,0.43117537217484875
1854004,21.99740195274353,526.3,0.0011811343864393156,0.9922913714849964,0.10098176718092566,0.9874941561477326,0.8008415147265077,0.002178101456382494,0.012664175640060718,0.9871043069053251,0.06844166492508687,0.3993674786672801
1954004,19.77440184354782,385.3,0.0015022997722441542,0.990400680404335,0.08274894810659186,0.9846891070593734,0.7251051893408135,0.002426724358118618,0.01482078931624983,0.8573727867492766,0.07095620728176578,0.44646125669741665
2010324,16.063601779937745,236.7,0.0013666425546803957,0.9918377492167965,0.10098176718092566,0.982468443197756,0.7798036465638148,0.002414689261207618,0.01294836153423128,0.9871043069053251,0.07492939886143866,0.4143789562340151
